+-------------------------------------------------------------------------+--------+----------+--------+--------------------+--------+-------------------+
|                                  文件名                                 | 原类名 | 预测类名 | 类别1  |       概率1        | 类别2  |       概率2       |
|                 【空军】提交新草案，中俄共倡外空和平.txt                | 09军事 |  03国际  | 03国际 |  -0.458830091534   | 03国际 |  -0.736274478936  |
|                【科创】科创中心建设需国资国企改革活力.txt               | 07科技 |  02经济  | 06法治 |  -0.264138083695   | 07科技 |  -0.345658262428  |
|                    【业务】在全国全面推进三网融合.txt                   | 02经济 |  02经济  | 06法治 |  -0.425506393674   | 06法治 |  -0.701009841707  |
|         【人大】十二届人大政协十二届三次会议3月5日3月3日开幕.txt        | 01政治 |  01政治  | 03国际 |  -0.0125600337804  | 04文化 |  -0.336274239411  |
|                     【上市】【车】福特：新探险者.txt                    | 02经济 |  02经济  | 06法治 |   0.896227603137   | 01政治 |  -0.944078932883  |
|                    【世界杯】巴西：大难不死有后福.txt                   | 08体育 |  08体育  | 01政治 |   0.237179401648   | 01政治 |  -0.863990745988  |
|              【伊朗】伊核谈判“加时”，冲刺全面协议“终点”.txt             | 03国际 |  03国际  | 03国际 |   0.591369414094   | 04文化 |  -0.891477360101  |
|                  【体育】让足球给孩子们带来快乐人生.txt                 | 08体育 |  08体育  | 01政治 |   0.803911302664   | 06法治 |  -0.881590704478  |
|                【核武器】我报告：日贮存大量敏感核材料.txt               | 09军事 |  03国际  | 03国际 |  -0.164661714524   | 03国际 |  -0.573771574489  |
|                    【以色列】以内阁将闭门磋商停火.txt                   | 03国际 |  03国际  | 03国际 |   0.481719105704   | 03国际 |  -0.785055661776  |
|                         “两交一直”特高压开工.txt                        | 05社会 |  05社会  | 06法治 |  -0.213732437429   | 04文化 |  -0.590211964333  |
|                  【机器人】胶囊机器人生产线落户金桥.txt                 | 07科技 |  02经济  | 06法治 |   -0.41952117988   | 06法治 |  -0.480838276312  |
|                  【执法】城管扩权，定得太细是否合适.txt                 | 06法治 |  06法治  | 01政治 |   0.791802957659   | 03国际 |  -0.628449251623  |
|              [政治]【外交】【访沪】科特迪瓦国防部长访沪.txt             | 01政治 |  09军事  | 03国际 |  -0.334844684209   | 03国际 |  -0.410291089235  |
|                     【上港】吉安披上上港35号球衣.txt                    | 08体育 |  08体育  | 01政治 |   0.584913937983   | 04文化 |  -0.861983661234  |
|                          “最美家庭”传授爱经.txt                         | 05社会 |  04文化  | 04文化 |  -0.347725689704   | 06法治 |   -0.3511927862   |
|              【习近平】《习近平谈治国理政》引美各界关注.txt             | 01政治 |  04文化  | 04文化 |   0.151636075486   | 03国际 |   -0.27483230263  |
|                 【恒大】中超联赛，还能变得更好一些吗.txt                | 08体育 |  08体育  | 01政治 |   0.269705770228   | 06法治 |  -0.769557102157  |
|                【文化】《开国那几年：1949—1953》首发.txt                | 04文化 |  04文化  | 04文化 |  -0.283253018388   | 06法治 |  -0.750879856245  |
|                       “单场竞猜”成今年竞彩主角.txt                      | 08体育 |  08体育  | 01政治 |   0.710200393221   | 03国际 |  -0.809207207101  |
|           【文化】“笛卡尔式”管理架构下的课程与教学成长之路.txt          | 04文化 |  05社会  | 06法治 |   -0.50546293167   | 04文化 |  -0.557634956424  |
|               【医疗科技】新技术延长 脑卒中治疗时间窗.txt               | 07科技 |  05社会  | 06法治 |   0.234732396453   | 07科技 |   -0.5628747957   |
|                  【二手房】公积金贷款最高额度120万.txt                  | 02经济 |  06法治  | 01政治 |  -0.161947247869   | 06法治 |  -0.493131694556  |
|                    【公开赛】网球：比赛为公益助力.txt                   | 08体育 |  08体育  | 01政治 |   0.850338615382   | 04文化 |  -0.799388304393  |
|                      “二十五小时书记”持“家”有道.txt                     | 05社会 |  05社会  | 06法治 |  -0.238745097865   | 04文化 |  -0.626375138246  |
|                    【大师赛】盲人魔术师来沪秀牌技.txt                   | 08体育 |  04文化  | 04文化 |  -0.0662492924444  | 01政治 |  -0.670194850526  |
|                【医疗】【预防】【病】为了“格桑花”盛开.txt               | 05社会 |  05社会  | 06法治 |  0.00307080118476  | 04文化 |  -0.668758660471  |
|                     传统商户“触网”，渴望“技术控”.txt                    | 07科技 |  02经济  | 06法治 |  -0.323989226227   | 07科技 |  -0.627571724623  |
|               【产业】德国促进战略性新兴产业发展的借鉴.txt              | 02经济 |  02经济  | 06法治 |  -0.177929796727   | 07科技 |  -0.553075508018  |
|               【足球】很荣幸，我能成为伟大梦想的一部分.txt              | 08体育 |  08体育  | 01政治 |   0.263547929044   | 04文化 |  -0.806627419659  |
|                 【涉嫌】在这里，市民感受到了司法公正.txt                | 06法治 |  06法治  | 01政治 |  -0.0559351794251  | 06法治 |   -0.48463073391  |
|      【人大】河南省原人大常委会副主任 秦玉海被罢免全国人大代表.txt      | 01政治 |  06法治  | 01政治 |  -0.285621935609   | 03国际 |  -0.350204666839  |
|                [政治]【外交】【访沪】特多总理今起访沪.txt               | 01政治 |  01政治  | 03国际 |   0.321758000472   | 03国际 |  -0.757321213696  |
|            【法院】购房合伙人猝然离世 出资方讨要一半产权.txt            | 06法治 |  06法治  | 01政治 |  -0.194250744551   | 06法治 |  -0.604323824112  |
|         [政治]【外交】【习近平】习近平抵布里斯班出席G20峰会.txt         | 01政治 |  01政治  | 03国际 |   1.28663360161    | 01政治 |  -0.855114269006  |
|                【天文望远镜】登山傍海入园，追月赏景去.txt               | 07科技 |  04文化  | 04文化 |  -0.486259370238   | 06法治 |  -0.614614216549  |
|                        一键管理你的职场人脉圈.txt                       | 07科技 |  05社会  | 06法治 |  -0.549726670912   | 06法治 |  -0.623031962488  |
|               【故意杀人】新疆涉暴恐7案13人被执行死刑.txt               | 06法治 |  06法治  | 01政治 |  0.0288377689644   | 03国际 |  -0.590668983581  |
|                   “袋鼠”跳出澳洲，“大熊猫”难出国门.txt                  | 08体育 |  08体育  | 01政治 |   0.369338069579   | 06法治 |  -0.836838395967  |
|        【人大】人大常委会议举行全会 张德江作职教执法检查报告.txt        | 01政治 |  01政治  | 03国际 |   0.264118196154   | 07科技 |  -0.767718395828  |
|                   【展出】上博展出96件馆藏精品古砚.txt                  | 04文化 |  04文化  | 04文化 |   0.20463704771    | 06法治 |  -0.823103882532  |
|               【产业】黄浦区用“时尚”进行产业“基因重组”.txt              | 02经济 |  02经济  | 06法治 | 0.000154340800792  | 04文化 |  -0.542156238745  |
|                        【体育】上海短跑怎么了.txt                       | 08体育 |  08体育  | 01政治 |   0.220276015173   | 04文化 |  -0.523187414775  |
|              【印度】【莫迪】莫迪访美带动印美关系“复健”.txt             | 03国际 |  03国际  | 03国际 |  -0.140801921473   | 03国际 |  -0.605021712315  |
|              【上市】【车】自主品牌：让“小S”飞，更快飞.txt              | 02经济 |  02经济  | 06法治 |   0.642244396376   | 06法治 |  -0.714971101943  |
|                  【博物馆】上海人开始穿西装或因实惠.txt                 | 04文化 |  04文化  | 04文化 |  -0.219684992015   | 01政治 |  -0.786426978856  |
|                          “风火轮”代步靠谱吗.txt                         | 07科技 |  05社会  | 06法治 |  -0.519218344929   | 06法治 |  -0.583031762561  |
|               【医疗】【预防】【病】价值观就是一种信念.txt              | 05社会 |  05社会  | 06法治 |  -0.218492158709   | 04文化 |  -0.755355238384  |
|          【文化】【抗战】世界反法西斯战争 70年警示录昨首发.txt          | 09军事 |  04文化  | 04文化 | -0.00557578437182  | 03国际 |  -0.747204903922  |
|                   【北约】北约召开峰会要重拾影响力.txt                  | 03国际 |  03国际  | 03国际 |    0.1193809221    | 03国际 |  -0.842018762339  |
|                     【《】【书】广州出台会议规范.txt                    | 04文化 |  01政治  | 03国际 |  -0.450961819606   | 01政治 |  -0.661672848591  |
|                     【农民】稻田里种出“中国地图”.txt                    | 05社会 |  05社会  | 06法治 |  -0.614219453503   | 04文化 |   -0.64214283621  |
|                   【足球】加强交流共推足球运动发展.txt                  | 08体育 |  08体育  | 01政治 |   0.88489444115    | 03国际 |  -0.514846021061  |
|                    【博物馆】上海博物馆淘宝店开张.txt                   | 04文化 |  04文化  | 04文化 |  -0.608748055936   | 06法治 |   -0.64830951906  |
|                       【伊朗】单极秩序已难维系.txt                      | 03国际 |  03国际  | 03国际 |   0.325456434764   | 06法治 |  -0.703439097932  |
|                 【球迷】送走“神经刀”，迎来“神经病”？.txt                | 08体育 |  08体育  | 01政治 |   0.36865756607    | 04文化 |   -0.81858645698  |
|                   【人大】围绕中心服务大局推进工作.txt                  | 01政治 |  01政治  | 03国际 |   0.513267393059   | 01政治 |  -0.706175286931  |
|                   【医患】樊嘉：医患齐心，肝癌不怕.txt                  | 05社会 |  05社会  | 06法治 |  -0.0378164159482  | 03国际 |   -0.77533825934  |
|                      【文化】“丐帮大会”何以奇葩.txt                     | 04文化 |  05社会  | 06法治 |  -0.614126890175   | 04文化 |  -0.618260979902  |
|                【奥巴马】奥巴马推移民改革政令再掀党争.txt               | 03国际 |  03国际  | 03国际 |  -0.0658335525177  | 06法治 |  -0.713639963586  |
|                      【儿童】恒河惊现约百具浮尸.txt                     | 05社会 |  03国际  | 03国际 |  -0.398643772786   | 06法治 |  -0.591721326929  |
|                  【举办】【展】周浦镇“小上海”年俗浓.txt                 | 04文化 |  04文化  | 04文化 |   -0.25555910059   | 06法治 |  -0.597513937841  |
|                   【农民】上海书展“正能量”润物无声.txt                  | 05社会 |  04文化  | 04文化 |  0.0535059125934   | 06法治 |   -0.76574977726  |
|                     【状告】“红头文件”不能再任性.txt                    | 06法治 |  06法治  | 01政治 |  -0.0366145265956  | 06法治 |   -0.68896147638  |
|                 【犯罪】涉黑案一审，刘汉刘维被判死刑.txt                | 06法治 |  06法治  | 01政治 |  0.0107280807872   | 06法治 |  -0.735156685928  |
|              【医疗】【医师】孩子一到秋季就腹泻怎么办？.txt             | 05社会 |  05社会  | 06法治 |  -0.125733762054   | 04文化 |  -0.674277820979  |
|     【企业】中国零售业用人缺口约600万 连锁企业74%岗位需要中职生.txt     | 02经济 |  02经济  | 06法治 |  -0.155762502325   | 04文化 |  -0.735055646731  |
|                   【拘禁】刘汉刘维等上诉案公开审理.txt                  | 06法治 |  06法治  | 01政治 |   0.747965670292   | 03国际 |  -0.942625024327  |
|                 【影视】跟着《大好时光》，慢慢游上海.txt                | 04文化 |  04文化  | 04文化 |  -0.480614815618   | 06法治 |  -0.597483332629  |
|             [政治]【外交】【李克强】李克强晤斯里兰卡外长.txt            | 01政治 |  01政治  | 03国际 |   1.46046837285    | 06法治 |  -0.954851181455  |
|                 【交响乐团】上交新乐季定位“先锋古典”.txt                | 04文化 |  04文化  | 04文化 |   0.286921886988   | 06法治 |  -0.847160462169  |
|                     【文化】《利氏汉法辞典》回家.txt                    | 04文化 |  04文化  | 04文化 |  -0.437324713291   | 06法治 |  -0.657786318168  |
|                       2019去临港领略“冰雪世界”.txt                      | 02经济 |  08体育  | 01政治 |  -0.356501273007   | 04文化 |  -0.455074755132  |
|           [政治]【外交】【习近平】中伊宣布建立战略伙伴关系.txt          | 01政治 |  01政治  | 03国际 |   0.557150673532   | 03国际 |  -0.715360008135  |
|                   【巴基斯坦】巴军击毙“东伊运”分子.txt                  | 03国际 |  03国际  | 03国际 |   0.25759219503    | 01政治 |  -0.820904194799  |
|                       【研发】疫苗研发在沪完成.txt                      | 07科技 |  05社会  | 06法治 |   0.299654686981   | 07科技 |  -0.501504607603  |
|               【传感】微工院：在“超越摩尔”领域弯道超车.txt              | 07科技 |  02经济  | 06法治 |  -0.324851408142   | 07科技 |  -0.521237329032  |
|                       “上马”今年提前到11月开跑.txt                      | 08体育 |  08体育  | 01政治 |  0.0267082343522   | 06法治 |  -0.590600340376  |
|              【养老】养老机构护理床位 将可纳入医保支付.txt              | 05社会 |  05社会  | 06法治 |   0.136952520217   | 03国际 |  -0.579522792713  |
|                    【伊拉克】巴格达“绿区”首次开放.txt                   | 03国际 |  03国际  | 03国际 |   0.417839705536   | 06法治 |  -0.697891371263  |
|                    【大师赛】费德勒面临新生代挑战.txt                   | 08体育 |  08体育  | 01政治 |   0.458873208868   | 06法治 |  -0.879074776557  |
|          [政治]【外交】【习近平】习近平20日开始今年首次出访.txt         | 01政治 |  01政治  | 03国际 |   1.06723774619    | 06法治 |  -0.926663120235  |
|                     【冠军】蚊子腿会否绊倒大象？.txt                    | 08体育 |  08体育  | 01政治 |  0.0482139679533   | 04文化 |  -0.779585797518  |
|           [政治]【外交】【张高丽】张高丽会见俄罗斯客人 (2).txt          | 01政治 |  01政治  | 03国际 |   0.881944958434   | 03国际 |  -0.276597739127  |
|           【上市】【车】长安福特“金牛座”冲击中高级轿车市场.txt          | 02经济 |  02经济  | 06法治 |  -0.0724130449614  | 06法治 |  -0.588135991045  |
|                  【人生】幼儿园毕业典礼莫太过成人化.txt                 | 05社会 |  05社会  | 06法治 |  -0.0840475627872  | 04文化 |  -0.542488319747  |
|                      【刑讯逼供】呼案“配角”18年.txt                     | 06法治 |  05社会  | 06法治 |  -0.627262889966   | 04文化 |  -0.627658779532  |
|                  【侦查】嫌疑人用打火机点燃“香蕉水”.txt                 | 06法治 |  06法治  | 01政治 |  -0.157322330816   | 06法治 |  -0.418504572588  |
|                【体育】【网球】【李娜】李娜将约战小威.txt               | 08体育 |  08体育  | 01政治 |   1.74125848822    | 06法治 |   -1.00247870593  |
|                       [国际]【球迷】球票去哪了.txt                      | 08体育 |  08体育  | 01政治 |   0.121644818596   | 03国际 |  -0.766244168021  |
|                【罚款】车辆年检窗口 服务能否更便民？.txt                | 06法治 |  05社会  | 06法治 |  -0.581321487363   | 01政治 |  -0.596606620009  |
|               【文化】“文化育人”彰显当代中职生综合素养.txt              | 04文化 |  04文化  | 04文化 |  -0.289083935832   | 06法治 |   -0.44586330005  |
|                     【下调】宽带资费10月底前下调.txt                    | 02经济 |  02经济  | 06法治 |  0.0482123440632   | 06法治 |  -0.610655049054  |
|                        “超级妈妈”与“私有财产”.txt                       | 05社会 |  05社会  | 06法治 |  0.0316348350037   | 04文化 |   -0.57777886168  |
|                   [政治]【外交】北京APEC 准备好了.txt                   | 01政治 |  04文化  | 04文化 |  -0.460944582867   | 03国际 |  -0.563314831134  |
|                 【产量】携“防晒基因”番茄抗热不误高产.txt                | 02经济 |  04文化  | 04文化 |  -0.548308173578   | 07科技 |  -0.588041743262  |
|                          天宫二号明年底发射.txt                         | 07科技 |  07科技  | 07科技 |  -0.286139146531   | 06法治 |  -0.690288522951  |
|            【叙利亚】IS再炸叙利亚古迹，贝尔神庙被部分损毁.txt           | 03国际 |  03国际  | 03国际 |   0.155450686906   | 04文化 |  -0.759867869532  |
|                     【举办】【展】捍卫“国之大轨”.txt                    | 04文化 |  05社会  | 06法治 |  -0.582326635039   | 04文化 |  -0.646553544237  |
|               【文化】【抗战】抗战珍贵文物明起亮相复旦.txt              | 09军事 |  04文化  | 04文化 |  -0.272233830155   | 03国际 |  -0.427235486623  |
|                   【人生】“希望她的人生像花儿绽放”.txt                  | 05社会 |  05社会  | 06法治 |  -0.359588967522   | 01政治 |  -0.700404879247  |
|              【一带一路】【经济】15位委员为申城发展建言.txt             | 02经济 |  01政治  | 03国际 |  -0.268572097641   | 07科技 |   -0.44110965166  |
|                      【公开赛】外卡究竟应该给谁.txt                     | 08体育 |  08体育  | 01政治 |   0.801650337336   | 04文化 |  -0.815122363844  |
|                  【科创】多策并举推进“科创22条”落地.txt                 | 07科技 |  02经济  | 06法治 |  -0.138886873293   | 07科技 |  -0.347640331001  |
|                     “凝固的音乐”遇见“流动的建筑”.txt                    | 04文化 |  04文化  | 04文化 |  -0.235776503127   | 03国际 |  -0.771868557922  |
|            【运动会】全国学生运动会开幕式不请明星不设舞台.txt           | 08体育 |  04文化  | 04文化 |   -0.10295674178   | 01政治 |  -0.255309164488  |
|            【文化】700年前的水闸遗址，留给上海的文化之谜.txt            | 04文化 |  04文化  | 04文化 |  -0.445056939547   | 06法治 |  -0.616583766551  |
|                 “地铁禁食”虽未入法社会自我监督需唤起.txt                | 06法治 |  04文化  | 04文化 |  -0.177336379911   | 06法治 |  -0.540701307172  |
|        【上海大众】3·15曝光大牌争相回应 道歉者少解释原因更少.txt        | 02经济 |  02经济  | 06法治 |   -0.49180591402   | 06法治 |  -0.616496016131  |
|             [政治]【外交】【中欧】深化与欧洲各地交流合作.txt            | 01政治 |  01政治  | 03国际 |   0.319843569983   | 06法治 |  -0.494483307409  |
|                    【《】【书】“他年轻时就那么好”.txt                   | 04文化 |  04文化  | 04文化 |  -0.511008918273   | 06法治 |  -0.572678672717  |
|                   【法院】挥拳相向只因“敢抢我地盘”.txt                  | 06法治 |  06法治  | 01政治 |  -0.0732447447504  | 06法治 |  -0.597005477114  |
|              【医疗】【预防】【病】多学科协作防治大肠癌.txt             | 05社会 |  05社会  | 06法治 |   -0.14471565547   | 03国际 |  -0.797662759664  |
|                      【SUV】DS彩虹跑上海站启动.txt                      | 02经济 |  04文化  | 04文化 |  -0.363139180877   | 06法治 |  -0.397773301974  |
|                    【犯罪】买野生动物吃将面临刑责.txt                   | 06法治 |  06法治  | 01政治 |  -0.185656897395   | 06法治 |  -0.588903096443  |
|                  【文化】【侵华】本报今推特稿和特刊.txt                 | 09军事 |  09军事  | 03国际 |  -0.219591595295   | 04文化 |  -0.498432572204  |
|               【运动会】明信片与系列《课外》纪录片首发.txt              | 08体育 |  04文化  | 04文化 |  0.00943967102689  | 01政治 |  -0.432469025598  |
|                 【举办】【展】市中心崛起新锐设计力量.txt                | 04文化 |  04文化  | 04文化 |  -0.402319259558   | 06法治 |   -0.56380219449  |
|                      【伦敦】伦敦机场瘫痪一小时.txt                     | 03国际 |  03国际  | 03国际 |  -0.506334930471   | 06法治 |  -0.679871008677  |
|                    【球队】中国年味儿飘到五大联赛.txt                   | 08体育 |  08体育  | 01政治 |   0.262950889548   | 03国际 |  -0.815000394194  |
|              【举办】【讲座】抗战是上海城市精神的催化剂.txt             | 04文化 |  04文化  | 04文化 |   0.210141926025   | 03国际 |  -0.180506859584  |
|                 【探测器】创新，就是要集中精力打靶心.txt                | 07科技 |  02经济  | 06法治 |  -0.348060695312   | 06法治 |  -0.560467088274  |
|                【剧团】这个冬天，“马天明”终于“休息”了.txt               | 04文化 |  04文化  | 04文化 |  -0.477930066942   | 06法治 |  -0.679478287529  |
|           【上市】【车】最新C-NCAP结果公布 五星达成率100%.txt           | 02经济 |  02经济  | 06法治 |  0.0331162071749   | 06法治 |  -0.692437645518  |
|                【85后】打动投资客的是兴趣、天赋和韧性.txt               | 05社会 |  05社会  | 06法治 |  -0.382844083118   | 04文化 |  -0.678441381645  |
|                      【足球】为了更广阔的99.5%.txt                      | 08体育 |  08体育  | 01政治 |   0.596826081099   | 06法治 |  -0.889302909038  |
|              【医生】【科技】机器人做手术，比医生更牛？.txt             | 05社会 |  05社会  | 06法治 |  0.00644385303153  | 07科技 |  -0.575156723089  |
|                    【嫌疑人】武警迅速制服持刀歹徒.txt                   | 06法治 |  06法治  | 01政治 |  -0.401427667341   | 03国际 |   -0.49966887759  |
|                        【金牌】中国首日夺两金.txt                       | 08体育 |  08体育  | 01政治 |   0.055460821385   | 03国际 |  -0.716405845065  |
|                    【人大】就群众关心热点难点建言.txt                   | 01政治 |  01政治  | 03国际 |   0.235278699516   | 06法治 |   -0.72326965241  |
|                  【军事】【烈士】纪念仪式的他国表达.txt                 | 09军事 |  03国际  | 03国际 |  -0.351461224095   | 03国际 |  -0.463511752004  |
|                【交响乐团】上交在乌鲁木齐“掀起盖头来”.txt               | 04文化 |  04文化  | 04文化 |  0.0896312417446   | 06法治 |  -0.719944343924  |
|                    【养老】上海进入深度老龄化阶段.txt                   | 05社会 |  05社会  | 06法治 |  -0.0847382213059  | 04文化 |  -0.498731614801  |
|              【事故】龙之梦电梯“咬人” 疑因保洁违规清洗.txt              | 05社会 |  05社会  | 06法治 |  -0.101309082536   | 01政治 |  -0.647744973731  |
|                       “白马”穿越时空重返提篮桥.txt                      | 05社会 |  09军事  | 03国际 |  -0.414259393036   | 04文化 |  -0.533251752597  |
|           【伊拉克】维护国际和平与安全 倡议举行公开辩论会.txt           | 03国际 |  03国际  | 03国际 |  -0.108885327544   | 03国际 |  -0.255462602933  |
|                   【犯罪】广西宁夏5名厅级干部立案.txt                   | 06法治 |  06法治  | 01政治 |   1.16895782491    | 03国际 |  -0.870938063564  |
|                  【日本】日本中部强震 至少57人受伤.txt                  | 03国际 |  03国际  | 03国际 |   0.206306610071   | 03国际 |  -0.791040480009  |
|            【上市】【车】“跳水”之后，车市进入“低价”时代？.txt           | 02经济 |  02经济  | 06法治 |  0.0300104006235   | 06法治 |  -0.769836282319  |
|               【医疗】【医师】给高龄妈妈的“二宝备忘录”.txt              | 05社会 |  05社会  | 06法治 |  -0.206094091203   | 04文化 |  -0.764326254773  |
|             [政治]【外交】【习近平】习近平将出席APEC峰会.txt            | 01政治 |  01政治  | 03国际 |   0.255683747182   | 03国际 |  -0.429079887719  |
|                【80后】生活中的人和事 舞台上的笑与乐.txt                | 05社会 |  04文化  | 04文化 |  -0.237648034364   | 06法治 |  -0.620554476047  |
|                     【德国】德是受害者还是帮凶？.txt                    | 03国际 |  03国际  | 03国际 |   0.710273104756   | 03国际 |  -0.654312038477  |
|                    【体育】上海大学生足球联赛开幕.txt                   | 08体育 |  08体育  | 01政治 |    1.5921418486    | 04文化 |  -0.820268479412  |
|                【阅兵】红场阅兵纪念卫国战争胜利70周年.txt               | 09军事 |  03国际  | 03国际 |  -0.254065065445   | 03国际 |  -0.449973861834  |
|                          K5混合动力升级登场.txt                         | 02经济 |  02经济  | 06法治 |   0.350282179702   | 06法治 |  -0.814663882293  |
|             【国际】【美国】欧佩克保量压价能否阻击页岩油.txt            | 03国际 |  03国际  | 03国际 |   -0.31392219274   | 06法治 |  -0.722301434385  |
|                     【产值】我国PX产能居世界第一.txt                    | 02经济 |  02经济  | 06法治 |  -0.531672905119   | 04文化 |   -0.5603160666   |
|                    【出租车】没系“安全带”已跑远？.txt                   | 05社会 |  05社会  | 06法治 |   0.177401448178   | 06法治 |  -0.785789023246  |
|         [政治]【外交】【习近平】习主席拉美行全面升级中拉合作.txt        | 01政治 |  01政治  | 03国际 |   0.756452813794   | 01政治 |  -0.823934975114  |
|          【犯罪】盗酒鬼酒账户亿元存款 两犯罪嫌疑人在皖落网.txt          | 06法治 |  06法治  | 01政治 |   0.270542010967   | 06法治 |  -0.724143601094  |
|              【犯罪】群众举报暴恐犯罪  重金奖励及时兑现.txt             | 06法治 |  06法治  | 01政治 |  -0.333819600943   | 03国际 |  -0.734746162937  |
|                  【上交所】“沪港通”6个月内正式推出.txt                  | 02经济 |  02经济  | 06法治 |   -0.3414496356    | 06法治 |  -0.559838012176  |
|                     【医疗】“活力张江”惊艳上交会.txt                    | 05社会 |  05社会  | 06法治 |   -0.46446579161   | 06法治 |  -0.507018566216  |
|                【反贪】高压反贪腐  “老虎”“苍蝇”打到底.txt               | 06法治 |  06法治  | 01政治 |  0.0210371382407   | 03国际 |  -0.757725971993  |
|                  【世界杯】时差，世界杯最大的敌人！.txt                 | 08体育 |  08体育  | 01政治 |   0.386081493316   | 04文化 |  -0.843511015894  |
|               【军事】【人物】国内最后一名飞虎队员病逝.txt              | 09军事 |  03国际  | 03国际 |  -0.425910199866   | 03国际 |  -0.645651333953  |
|                      【入狱】朝称美公民蓄意入狱.txt                     | 06法治 |  03国际  | 03国际 |   0.306025282073   | 01政治 |  -0.784358897669  |
|                   【涉嫌】收2.8万抚养费将女儿送养.txt                   | 06法治 |  06法治  | 01政治 | -0.00785142192768  | 06法治 |  -0.508420741897  |
|              【叙利亚】“领土”缩水战线收缩，IS风光不再？.txt             | 03国际 |  03国际  | 03国际 |   0.13307522008    | 06法治 |  -0.749149933552  |
|                  【85后】流水线上，也能做创新的主人.txt                 | 05社会 |  07科技  | 07科技 |  -0.480281571504   | 01政治 |  -0.644344508103  |
|                   【上市】【车】低头族的失败与伟大.txt                  | 02经济 |  05社会  | 06法治 |  -0.560437959845   | 04文化 |  -0.691547529742  |
|                      【涉嫌】雅安原市委书记被捕.txt                     | 06法治 |  06法治  | 01政治 |   0.166304575441   | 06法治 |  -0.866163142458  |
|                    【叙利亚】叙承诺百日内移除化武.txt                   | 03国际 |  03国际  | 03国际 |  -0.0421172674882  | 01政治 |  -0.747595590903  |
|                     【受贿】氯碱化工两前高管受审.txt                    | 06法治 |  06法治  | 01政治 |  -0.0463907659305  | 06法治 |  -0.655865716543  |
|                         【拘留】埃博拉EBOLA.txt                         | 06法治 |  03国际  | 03国际 |  -0.355755200953   | 03国际 |  -0.631595288095  |
|                     “静悄悄”招投标“不知情”保公平.txt                    | 05社会 |  02经济  | 06法治 |  -0.377225873017   | 06法治 |  -0.510258180627  |
|                    【足球】2015上海市民足球节开幕.txt                   | 08体育 |  08体育  | 01政治 |   1.50867111176    | 04文化 |  0.00903807890208 |
|                     【影视】文献展还原哈定工作室.txt                    | 04文化 |  04文化  | 04文化 |   0.503058023227   | 06法治 |  -0.843784888484  |
|             [政治]【外交】【俞正声】俞正声晤古巴武装部长.txt            | 01政治 |  01政治  | 03国际 |   1.08194370024    | 03国际 |  -0.804534075383  |
|          【人大】市人大常委会征集年度 监督工作议题建议公告.txt          | 01政治 |  01政治  | 03国际 |  0.0437473251081   | 04文化 |  -0.512049999588  |
|                        “老师新年快乐！我想你”.txt                       | 05社会 |  05社会  | 06法治 |  -0.383889231181   | 04文化 |  -0.527991987182  |
|                【博物馆】皿天全方罍身首合一“完罍归湘”.txt               | 04文化 |  04文化  | 04文化 |  -0.516618392905   | 06法治 |  -0.659151444082  |
|                    【90后】逾半“90后”有意在校创业.txt                   | 05社会 |  05社会  | 06法治 |  -0.0355301324667  | 04文化 |  -0.701905951843  |
|               【考察】【科学】科研“全球化”如何看待得失.txt              | 07科技 |  07科技  | 07科技 |  -0.286878321783   | 06法治 |  -0.730957920478  |
|                  【事故】日夜“监护”海上油气平台安全.txt                 | 05社会 |  02经济  | 06法治 |  -0.528723361836   | 07科技 |  -0.537109170385  |
|               【医疗】【预防】【病】全科医生，真的蛮全.txt              | 05社会 |  05社会  | 06法治 |   0.107572936028   | 03国际 |  -0.781491112032  |
|           【CPI】【增长】【经济】化解风险，成败关键在改革.txt           | 02经济 |  02经济  | 06法治 |  -0.439229931329   | 04文化 |  -0.685705163961  |
|                   【份额】世联行发布2014年年度报告.txt                  | 02经济 |  02经济  | 06法治 |  -0.184291665341   | 06法治 |   -0.63254973963  |
|                 【上市】【车】大众全新Sportsvan上市.txt                 | 02经济 |  02经济  | 06法治 |   0.755659498198   | 07科技 |  -0.718148371792  |
|             【法治】沉迷网游 休学离家 流浪十年 涉盗被擒.txt             | 06法治 |  06法治  | 01政治 |  -0.553932141291   | 06法治 |   -0.61761165571  |
|                 【《】【艺术】邂逅匈牙利最伟大的画家.txt                | 04文化 |  04文化  | 04文化 |  -0.0297966037006  | 06法治 |  -0.756107352788  |
|                      【90后】草根创业民企受热捧.txt                     | 05社会 |  04文化  | 04文化 |  -0.500486314991   | 06法治 |  -0.581841033415  |
|           【受贿】编造工程签订虚假合同 套取公款索贿280万元.txt          | 06法治 |  06法治  | 01政治 |  -0.0749117361467  | 06法治 |  -0.742870640278  |
|                     “阶梯水价”不能变成“阶梯涨价”.txt                    | 02经济 |  05社会  | 06法治 |  -0.294842837983   | 06法治 |  -0.569518708794  |
|                     【火箭】长征火箭第200次发射.txt                     | 07科技 |  07科技  | 07科技 |  -0.398584341169   | 04文化 |  -0.703730216217  |
|              [政治]【外交】中方期待G20制定全面增长战略.txt              | 01政治 |  01政治  | 03国际 |   0.360398889963   | 06法治 |  -0.693579080239  |
|               【PM2.5】PM2.5年均浓度降20%，“难度不低”.txt               | 05社会 |  05社会  | 06法治 |  -0.431020048152   | 03国际 |  -0.635581618165  |
